STATISTICS
Distinct ISO 639-3 languages:	 5591 
Additional languages that don't have ISO 639-3 but should:	 68 
Missing ISO 639-3 languages in Ethnologue  (ignoring sign languages):	 1847 
Language coverage:	 74.83 percent
Doculects:	 10168 
Proto-languages:	 230 
Ancient languages:	 56 
Recently extinct languages:	 532 
Constructed languages:	 21 
100-item lists:	 2469 
Glottolog families (including some not in Glottolog):	 402 
Missing Glottolog families:	 28 
Glottolog Unclassifiables with ISO-codes not in ASJP:	 36 
Glottolog Unclassifiables without ISO-codes apparently not in ASJP:	 83 
Ethnologue families and isolates:	 278 
Ethnologue isolates:	 113 
Missing Ethnologue isolates:	 26 
WALS families (including some not in WALS):	 310 
Languages also in WALS:	 2326 
Entries (synsets):	 434584 
Words:	 482118 

TO-DO
Missing Glottolog families:
Tekiraka, Betoi, Maratino, MixedLanguage, Minkin, Xukuru, Ramanos, Matanawi, South-Eastern_Tasmanian, Hattic, Waikuri, Chono, Otomaco-Taparita, Western_Tasmanian, Meroitic, Mimi-Gaudefroy, Oyster_Bay, Hurro-Urartian, Adai, Kariri, Arara_do_Rio_Branco, Mure, Oti, Iberian, Culli, Jalaa, Tinigua, Duranmin
Glottolog Unclassifiables with ISO-codes not in ASJP:
bfr, cby, ecr, ecy, fah, gic, hvc, ktq, neo, nrp, nxm, omn, pij, pkc, pld, quq, sbv, scx, sxc, trl, txr, uam, urp, wwb, xai, xbw, xcc, xle, xlg, xly, xpi, xpn, xrr, xrt, xso, zkg
Glottolog Unclassifiables without ISO-codes apparently not in ASJP:
Ambermo, Amotomanco, Aracaju, Baenan, Bagua, Bidai, Borgu, Cabixi-Natterer, Calchaqui, Calusa, Catuquinaru-Bach, Chacha, Chholo, Colima, Concho, Copallen, Cueva, Cusabo, Degere, Dima-Bottego, Envuelto, Erie, Fayjatases, Gamella, Guachipas, Guaicaro, Gutian, Hamba, Hoxa, Idabaez, Imbabura, Jenipapo-Kaninde, Kainuu-Saami, Kakesio-Dorobo, Kantarure, Kassite, Komta, Malibu, Mangio, Mangree, Marau-Wawa, Meherrin, Monqui, Muellamues, Muzo, Naolan, Natu, Neutral-Atiouandaronk, Okwa, Pacahuaras-Castillo, Pamunkey, Panche, Panzaleo, Pasto, Patagon, Payaya, Pericu, Pitaguary, Poya, Puruguay, Quepos, Querandi, Quignam, Quillacinga, Quinigua, Sacata, Sansimoniano, Serengeti-Dorobo, Silla, South-Arabian-Unknown-K, Tabancale, Tanpachoa, Tapajo, Tarairiu, Tembey, Unainuman, Urucucus, Vazimba, Wavu-Ii, Wenro, Xiong-Nu, Xoco, Yanacona
There are 629 languages whose best attested doculect has less than 28 items:
best att. doculect	ISO-code	attestations
JUDEO_YEMENI_ARABIC	jye	2
KANINGRA	knr	2
MARI_PNG	mbx	2
WAGU	wa0	2
SENGO	spk	4
MAWA_CHAD	mcw	5
KAAN	ldl	5
ALAGO	ala	5
KOIWAT	kxt	5
TUXA	tud	5
KUA	tyu	6
NCHUMBULU	nlu	6
RATHAWI	rtw	6
KORESH_E_ROSTAM	okh	6
BUSAMI	bsm	6
COLAN	co0	6
MIRRIPU_TIMOTE	qsm	6
CALO	rmq	6
FANAGALO	fng	6
LINGUA_FRANCA	pml	6
EL_HUGEIRAT	elh	7
MAMA	mma	7
VAAL_ORANGE	gku	7
ADIWASI_GARASIA	gas	7
MAL_PAHARIA	mkb	7
NAHALI_NLX	nlx	7
NAHARI	nhh	7
MARMA	rmz	7
MEDNYJ_ALEUT	mud	7
SININKERE	skq	8
MALAWI_SENA	swk	8
NDOOBO	ndw	8
ILLYRIAN	xil	8
DECCAN	dcc	8
PARDHI	pcl	8
BASHKARDI	bsg	8
QASHQAI	qxq	8
RAFAELENYO	cst	8
DAHALIK	dlk	9
PALAKA	plr	9
MAWCHI	mke	9
WADDAR	wbq	9
GONGDUK	goe	9
HUMLA	hut	9
MUGOM	muk	9
SWAMPY_CREE	csw	9
SOLTEC	so0	9
NIGERIAN_BENA	yun	10
YANGO	yng	10
GRANGALI	nli	10
UPPER_TAROMI	tov	10
RALTE	ral	10
KONOMALA	koa	10
DIUWE	diy	10
SAN_LUIS_TEMALACAYUCA_POPOLOCA	pps	10
PUTUKWAM	afe	11
TWENDI	twn	11
CHALIKHA	tgf	11
TONJON	tjn	12
NOY	noy	12
DAMAKAWA	dam	12
SURUBU	sde	12
ABON	abo	12
PALAIC	plq	12
BAGHELI	bfy	12
GOAN_KONKANI	gom	12
PAURI_BARELI	bfb	12
NAYINI	nyq	12
OLD_PERSIAN	peo	12
ISTRIOT	ist	12
BELHARE	byw	12
YOKE	yki	12
PWAAMEI	pme	12
KARKIN	krb	12
TUXINAWA	tux	12
ANDAMAN_CREOLE_HINDI	hca	12
BAREIN	bva	13
TAJIKI_ARABIC	abh	13
BENDI	bct	13
LEMORO	ldj	13
MENDANKWE_NKWEN	mfd	13
NGIEMBOON	nnh	13
KHETRANI	xhe	13
TANGCHANGYA	tnv	13
ILI_TURKI	ili	13
PAITE	pck	13
TARIANG	tdf	13
TUTUTNI	tuu	13
SECHURA	sc0	13
PANKARARU	paz	13
TURIWARA	twt	13
SENSI	sni	13
SILTE	stv	14
BAYGO_2	byg	14
LUMUN	lmd	14
UBANG	uba	14
IKU_GORA_ANKWA	ikv	14
AHAN	ahn	14
WAPAN	juk	14
MBONGNO	bgu	14
YAKA_3	gnz	14
