ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
ABAM,ABAM,wipi1242,Wipi,gdr,Papunesia,-8.75,143.08,Eastern Trans-Fly,WF.WESTERN_FLY,EasternTrans-Fly,,False,False,,,gdr,
ABAR,ABAR,abar1238,Mungbam,mij,Africa,6.58,10.25,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Beboid,Western",,False,False,,,mij,Viveka Velupillai
ABASAKUR,ABASAKUR,pall1244,Pal,abw,Papunesia,-4.77,145.23,Nuclear Trans New Guinea,TNG.MADANG,"Trans-NewGuinea,Madang,Croisilles,Pihom,Omosan",,False,False,,,abw,Cecil H. Brown
ABAZA,ABAZA,abaz1241,Abaza,abq,Eurasia,44.0,42.0,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"NorthCaucasian,WestCaucasian,Abkhaz-Abazin",,False,False,,abz,abq,André Müller
ABIPON,ABIPON,abip1241,Abipon,axb,South America,-29.0,-61.0,Guaicuruan,Gcu.GUAICURUAN,"Mataco-Guaicuru,Guaicuruan",,True,False,,abi,axb,Cecil H. Brown
ABIRPARAMAHALI,ABIRPARA_MAHALI,maha1291,Mahali,mjx,Eurasia,23.4,85.32,Austroasiatic,AuA.MUNDA,"Austro-Asiatic,Munda,NorthMunda,Kherwari,Santali",,False,False,,,mjx,Sebastian Sauppe
ABKHAZ,ABKHAZ,abkh1244,Abkhaz,abk,Eurasia,43.08,41.0,Abkhaz-Adyge,NWC.NORTHWEST_CAUCASIAN,"NorthCaucasian,WestCaucasian,Abkhaz-Abazin",,False,False,,abk,abk,André Müller
ABNAKIWESTERN,ABNAKI_WESTERN,west2630,Western Abenaki,abe,North America,44.0,-72.25,Algic,Alg.ALGONQUIAN,"Algic,Algonquian,Eastern",,False,False,,abw,abe,Pamela Brown
ABUA,ABUA,abua1244,Abua,abn,Africa,4.91,6.69,Atlantic-Congo,NC.CROSS_RIVER,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,CentralDelta,Abua-Odual",,False,False,,,abn,Viveka Velupillai
ABUIATIMELANG,ABUI/ATIMELANG,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,TNG.WEST_TIMOR-ALOR-PANTAR,"Trans-NewGuinea,West,WestTimor-Alor-Pantar,Alor-Pantar,Alor",,False,False,,,abz,Zarina Molochieva
ABUIMAKADAI,ABUI/MAKADAI,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,TNG.WEST_TIMOR-ALOR-PANTAR,"Trans-NewGuinea,West,WestTimor-Alor-Pantar,Alor-Pantar,Alor",,False,False,,,abz,Zarina Molochieva
ABUITAKALELANG,ABUI_TAKALELANG,abui1241,Abui,abz,Papunesia,-8.25,124.58,Timor-Alor-Pantar,TNG.WEST_TIMOR-ALOR-PANTAR,"Trans-NewGuinea,West,WestTimor-Alor-Pantar,Alor-Pantar,Alor",,False,False,,,abz,Søren Wichmann and Viveka Velupillai
ABUL,ABUL,heib1243,Ebang,hbn,Africa,11.25,30.67,Heibanic,NC.HEIBAN,"Niger-Congo,Kordofanian,Heiban,West-Central,Central,Ebang-Logol,Ebang-Laru",,False,False,,,hbn,Viveka Velupillai
ABUN,ABUN,abun1252,Abun,kgr,Papunesia,-0.5,132.5,Abun,WP.NORTH-CENTRAL_BIRDS_HEAD,Languageisolate,,False,False,,abu,kgr,Søren Wichmann
ABUNKARON,ABUN/KARON,abun1252,Abun,kgr,Papunesia,-0.5,132.5,Abun,WP.NORTH-CENTRAL_BIRDS_HEAD,Languageisolate,,False,False,,abu,kgr,
ABUNGSUKADANALAMPUNGNYO,ABUNG_SUKADANA_LAMPUNG_NYO,lamp1242,Lampung Nyo,abl,Papunesia,-4.67,105.5,Austronesian,An.LAMPUNGIC,"Austronesian,Malayo-Polynesian,Lampung",,False,False,,,abl,Sebastian Sauppe
ABUNJIMADIK,ABUN_JI/MADIK,abun1252,Abun,kgr,Papunesia,-0.5,132.5,Abun,WP.NORTH-CENTRAL_BIRDS_HEAD,Languageisolate,,False,False,,abu,kgr,
ACATECOSANMIGUELACATAN,ACATECO_SAN_MIGUEL_ACATAN,west2635,Akateko,knj,North America,15.83,-91.83,Mayan,May.MAYAN,"Mayan,Kanjobalan-Chujean,Kanjobalan,Kanjobal-Jacaltec",,False,False,,kwe,knj,Pamela Brown
ACEH,ACEH,achi1257,Acehnese,ace,Eurasia,5.5,95.5,Austronesian,An.MALAYIC,"Austronesian,Malayo-Polynesian,Malayo-Sumbawan,NorthandEast,Chamic,Achenese",,False,False,,ace,ace,Søren Wichmann and Viveka Velupillai
