Grapheme	FREQUENCY	SCA	CODEPOINTS	EXAMPLES	IPA
^	307369			N;NN;N;aN;am	NULL
$	308640			N;NN;N;aN;am	NULL
-	2			-;-	NULL
^yz$	0	I S	U+005E U+0079 U+007A U+0024		i z
^yz~$	1	I S	U+005E U+0079 U+007A U+007E U+0024	yz~	i z
^sw*$	1	S Y	U+005E U+0073 U+0077 U+002A U+0024	sw*	s ũ
^CZ~$	4	T S	U+005E U+0043 U+005A U+007E U+0024	CZ~;CZ~;CZ~;CZ~	tʃ ʒ
^wr$	0	Y R	U+005E U+0077 U+0072 U+0024		u r
^Xl~w$	1	G L Y	U+005E U+0058 U+006C U+007E U+0077 U+0024	Xl~w	χ l u
^hyX~$	1	H I G	U+005E U+0068 U+0079 U+0058 U+007E U+0024	hyX~	h i χ
^hw*~a*$	1	H W E	U+005E U+0068 U+0077 U+002A U+007E U+0061 U+002A U+0024	hw*~a*	h w ɐ̃
^qwv~$	1	K Y B	U+005E U+0071 U+0077 U+0076 U+007E U+0024	qwv~	q u v
^Nw*~e*$	1	N W E	U+005E U+004E U+0077 U+002A U+007E U+0065 U+002A U+0024	Nw*~e*	ŋ w ẽ
^ocz$	0	U C S	U+005E U+006F U+0063 U+007A U+0024		o ts z
^w*oN$	8	W U N	U+005E U+0077 U+002A U+006F U+004E U+0024	w*oN;w*oN;w*oN;w*oN;w*oN	w õ ŋ
^ww~a$	1	Y W A	U+005E U+0077 U+0077 U+007E U+0061 U+0024	ww~a	u w a
^i8iw*$	1	I D I W	U+005E U+0069 U+0038 U+0069 U+0077 U+002A U+0024	i8iw*	i θ ĩ w
^yww~a$	1	J Y W A	U+005E U+0079 U+0077 U+0077 U+007E U+0061 U+0024	yww~a	j u w a
"^lw""v~lw$"	1	L B L W	U+005E U+006C U+0077 U+0022 U+0076 U+007E U+006C U+0077 U+0024	"lw""v~lw"	l’ʷ v l w
^Ngw*$a*$	1	N K W E	U+005E U+004E U+0067 U+0077 U+002A U+0024 U+0061 U+002A U+0024	Ngw*$a*	ŋ g w ɐ̃
^sethw*$a*$	1	S E T E	U+005E U+0073 U+0065 U+0074 U+0068 U+0077 U+002A U+0024 U+0061 U+002A U+0024	sethw*$a*	s e tʷʰ ɐ̃
^weyy~e$	1	W E J E	U+005E U+0077 U+0065 U+0079 U+0079 U+007E U+0065 U+0024	weyy~e	w e j e
^Sh~eS~oNg~a$	1	S E S U K E	U+005E U+0053 U+0068 U+007E U+0065 U+0053 U+007E U+006F U+004E U+0067 U+007E U+0061 U+0024	Sh~eS~oNg~a	ʃʰ e ʃ o ⁿg ɐ
!	690	!	U+0021	!a;!e;Si!kei;n!a;m!a	ǃ
"!"""	42	!	U+0021 U+0022	"!""ua*;!""amkoe;!""au;N!""ama;N!""ala"	ǃ’
"!""~"	0	!	U+0021 U+0022 U+007E		ǃ’
!7~	21	!	U+0021 U+0037 U+007E	!7~oe;!7~u;!7~au;!7~Eu;!7~3u	ǃˀ
!N~	9	!	U+0021 U+004E U+007E	!N~e7e;!N~a;!N~u7ubu;!N~o;!N~ah	ǃⁿ
!S~	1	!	U+0021 U+0053 U+007E	e!S~o	ǂ
