ID	Name	Glottocode	Glottolog_Name	ISO639P3code	Macroarea	Latitude	Longitude	Family	classification_wals	classification_ethnologue	classification_glottolog	recently_extinct	long_extinct	year_of_extinction	code_wals	code_iso	transcribers
COLAC	COLAC	cola1237	Colac		Australia	-38.2	143.3	Pama-Nyungan	PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan,Kulin	Pama-Nyungan,SoutheasternPama-Nyungan,VictorianPama-Nyungan,Kulin-Bunganditj,Kulin	True	False			cx0	Zarina Molochieva
COLAN	COLAN					-5	-81.06		Tla.TALLAN		Tallan	True	False				Julia Bischoffberger
COMMON_TOCHARIAN	COMMON_TOCHARIAN	tokh1243	Tokharian B		Eurasia	41.65	82.9	Indo-European	IE.TOCHARIAN	Indo-European,Tokharian	Indo-European,Tokharian	True	False	850			Viveka Velupillai
CUICA	CUICA	timo1237	Timote-Cuica	qpj	South America	9	-70.5		TC.TIMOTE-CUICA	Timote-Cuica	Timote-Cuica	True	False			qpj	Matthias Urban
CUITLATEC	CUITLATEC	cuit1236	Cuitlatec	qpb	North America	17.5	-101		Cui.CUITLATEC	Cuitlatec	Cuitlatec	True	False	1965		qpb	Cecil H. Brown
DARAGA	DARAGA	alba1269	Inland-Buhi-Daraga Bikol	rbl	Papunesia	13.17	123.5	Austronesian	An.GREATER_CENTRAL_PHILIPPINE	Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,CentralPhilippine,Bikol,Inland	Austronesian,NuclearAustronesian,Malayo-Polynesian,GreaterCentralPhilippine,CentralPhilippine,Bikol,InlandBikol	False	False			rbl	Ann-Katrin Wett
DHUDHUROA	DHUDHUROA	dhud1236	Dhudhuroa		Australia	-35.56	144.18	Pama-Nyungan	PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan	Pama-Nyungan,SoutheasternPama-Nyungan,VictorianPama-Nyungan,EasternVictoria,Dhudhuroa-Pallanganmiddang	True	False				Julia Bischoffberger
DHUWAL	DHUWAL	dhuw1249	Dhuwal	dwu	Australia	-12.67	136.75	Pama-Nyungan	PN.WESTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan,Yuulngu,Dhuwal	Pama-Nyungan,Yuulngu,SouthernYolngu,Southern-EasternYolngu,Dhuwal-Dhuwala,WesternDhuwal-Dhuwala	False	False		dda	dwu	
DJADJALA	DJADJALA			dja		-35.82	142.03		PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan,Kulin	Pama-Nyungan	True	False			dja	Viveka Velupillai
DJAPU	DJAPU			dwu		-12.67	136		PN.WESTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan,Yuulngu,Dhuwal	Pama-Nyungan,Yuulngu,SouthernYolngu,Southern-EasternYolngu,Dhuwal-Dhuwala,WesternDhuwal-Dhuwala	False	False		djp	dwu	André Müller
DORASQUE	DORASQUE	dora1242	Dorasque	qbn	North America	7	-83	Chibchan	Chi.DORASKE	Chibchan	Chibchan,CoreChibchan,IsthmicChibchan,Doracic	True	False			qbn	Cecil H. Brown
DOTHRAKI	DOTHRAKI					33.77	-118.2		Oth.ARTIFICIAL		ArtificialLanguage	False	False				André Müller
FINALLIG	FINALLIG	fina1242	Finallig	ebk	Papunesia	17.08	121.17	Austronesian	An.NORTHERN_LUZON	Austronesian,Malayo-Polynesian,NorthernLuzon,Meso-Cordilleran,South-CentralCordilleran,CentralCordilleran,NorthCentralCordilleran,NuclearCordilleran,Bontok-Kankanay,Bontok	Austronesian,NuclearAustronesian,Malayo-Polynesian,NorthernLuzon,Meso-Cordilleran,South-CentralCordilleran,CentralCordilleran,NorthCentralCordilleran,NuclearCordilleran,Bontok-Kankanay,Bontok	False	False			ebk	Sebastian Sauppe
GANDANGARA	GANDANGARA					-33.7	150.3		PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan	Pama-Nyungan	True	False				Julia Bischoffberger
GUACHI	GUACHI	guac1239	Guachi	qfk	South America	-19.43	-56.34		Gch.GUACHI	Guaykuruan	Guachi	True	False			qfk	Zarina Molochieva
GUAMO	GUAMO	guam1236	Guamo	qax	South America	8	-69.5		Gmo.GUAMO	Guamo	Guamo	True	False			qax	Matthias Urban
GUARANI_ANTIGO	GUARANI_ANTIGO					-26	-56		Tup.TUPI-GUARANI	Tupian,Tup\'i-Guaran\'i,Guaran\'i,Guaran\'i	Tupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,Tupi-GuaraniSubgroupI	True	False	1699			Pamela Brown
GUINAU	GUINAU	guin1258	Guinau		South America	4.78	-64.62	Arawakan	Arw.INLAND_NORTHERN_ARAWAKAN	Maipurean,Northern,UpperAmazon,CentralUpperAmazon,Bare	Arawakan,NorthernMaipuran,InlandNorthernMaipuran,AltoNegro	True	False			gu0	
GUYAMBAL	GUYAMBAL	guya1250	Guyambal		Australia	-29.1	151	Pama-Nyungan	PN.EAST_QUEENSLAND_BORDER	Australian,Pama-Nyungan	Pama-Nyungan,EastQueenslandBorderPamaNyungan,Yugambalic	True	False				Julia Bischoffberger
GWARA	GWARA	gwar1240	Gwara		Africa	9.47	7.98	Atlantic-Congo	NC.PLATOID	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Plateau	Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-CongoPlateau,WesternBenue-CongoPlateau,NorthwesternBenue-CongoPlateau,Koroic	False	False				Viveka Velupillai
HELSINKI_STADIN_SLANGI	HELSINKI_STADIN_SLANGI					60.17	24.95		Oth.SPEECH_REGISTER		SpeechRegister	False	False				Viveka Velupillai
HOAN	HOAN					-23.92	24.95		Kxa.JU-KUNG	Kx'a,!Kung	Kxa	False	False			ho0	André Müller
IDO	IDO	idoo1234	Ido		Eurasia	52.37	4.89	Artificial Language	Oth.ARTIFICIAL		ArtificialLanguage	False	False				André Müller
INTERLINGUA	INTERLINGUA	inte1239	Interlingua (International Auxiliary Language Association)		Eurasia	40.43	74	Artificial Language	Oth.ARTIFICIAL		ArtificialLanguage	False	False				André Müller
IRANUN	IRANUN	iran1262	Iranun	ilm	Papunesia	6.35	116.43	Austronesian	An.GREATER_CENTRAL_PHILIPPINE	Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,Danao,Maranao-Iranon	Austronesian,NuclearAustronesian,Malayo-Polynesian,GreaterCentralPhilippine,Danaw	False	False			ilm	André Müller
JARAWA_2	JARAWA_2	jara1263	Jarawa (Nigeria)	jjr	Africa	9.65	10.1	Atlantic-Congo	NC.BANTOID	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Jarawan,Nigerian	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Jarawan,NigerianJarawan	False	False		jar	jjr	Guillaume Segerer and Søren Wichmann
JARAWA_3	JARAWA_3	jara1263	Jarawa (Nigeria)	jjr	Africa	9.65	10.1	Atlantic-Congo	NC.BANTOID	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Jarawan,Nigerian	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Jarawan,NigerianJarawan	False	False		jar	jjr	Guillaume Segerer and Søren Wichmann
JIRINGAYN	JIRINGAYN					-36.67	149.83		PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan	Pama-Nyungan	True	False				Julia Bischoffberger
KAERA	KAERA	kaer1234	Kaera		Papunesia	-8.4	124.15	Timor-Alor-Pantar	TAP.GREATER_ALOR	Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Pantar	Timor-Alor-Pantar,Alor-Pantar	False	False			ke0	Søren Wichmann and Viveka Velupillai
KAERA_2	KAERA_2	kaer1234	Kaera		Papunesia	-8.4	124.15	Timor-Alor-Pantar	TAP.GREATER_ALOR	Trans-NewGuinea,West,Timor-Alor-Pantar,Alor-Pantar,Pantar	Timor-Alor-Pantar,Alor-Pantar	False	False			ke0	
KATHLAMET	KATHLAMET	kath1253	Kathlamet		North America	46.2	-123.38	Chinookan	Pen.CHINOOKAN	Chinookan,UpperChinookan	Chinookan,UpperChinookan	True	False	1940		ka0	Matthew S. Dryer
KAWA	KAWA					-8.33	124.42		TAP.GREATER_ALOR	Trans-NewGuinea,West,Timor-Alor-Pantar	Timor-Alor-Pantar,Alor-Pantar	False	False				Søren Wichmann and Viveka Velupillai
KERAMIN	KERAMIN					-34.08	141.9		PN.NORTHERN_PAMA-NYUNGAN	Australian,Pama-Nyungan	Pama-Nyungan	True	False				Julia Bischoffberger
KHAMNIGAN_MONGOL	KHAMNIGAN_MONGOL	kham1281	Khamnigan Mongol		Eurasia	49	117	Mongolic-Khitan	Alt.MONGOLIC	Mongolic,Eastern	Mongolic,EasternMongolic	False	False				André Müller
KITANEMUK	KITANEMUK					34.89	-118.68		UA.CALIFORNIA_UTO-AZTECAN	Uto-Aztecan,NorthernUto-Aztecan,Takic	Uto-Aztecan,NorthernUto-Aztecan,CalifornianUto-Aztecan,Cupan	True	False	1945		qe8	Ann-Katrin Wett
KLINGON	KLINGON	klin1234	Klingon		North America	34.1	-118.33	Artificial Language	Oth.ARTIFICIAL		ArtificialLanguage	False	False				André Müller
KROTMAG_KLINGON	KROTMAG_KLINGON					34.1	-118.33		Oth.ARTIFICIAL		ArtificialLanguage	False	False				
LATE_EGYPTIAN	LATE_EGYPTIAN					29.85	31.25		AA.EGYPTIAN-COPTIC	Afro-Asiatic,Egyptian	Afro-Asiatic,Egyptian	False	True				
LOJBAN	LOJBAN	lojb1234	Lojban		North America	38.53	77.02	Artificial Language	Oth.ARTIFICIAL		ArtificialLanguage	False	False				André Müller
MAIPURE	MAIPURE	maip1247	Maipure-Avane	qij	South America	5.5	-67.5	Arawakan	Arw.INLAND_NORTHERN_ARAWAKAN	Maipurean,Northern,UpperAmazon	Arawakan,NorthernMaipuran,Maipure-Avane	True	False	1780		qij	Viveka Velupillai
MBOANDEM	MBOANDEM					5.42	8.67		Oth.ARTIFICIAL	Constructedlanguage	ArtificialLanguage	False	False				Viveka Velupillai
MIDDLE_EGYPTIAN	MIDDLE_EGYPTIAN					25.7	32.65		AA.EGYPTIAN-COPTIC	Afro-Asiatic,Egyptian	Afro-Asiatic,Egyptian	False	True				
MILLCAYAC	MILLCAYAC	mill1237	Millcayac	qgb	South America	-31	-68	Huarpean	Hur.HUARPE	Huarpe	Huarpean	True	False	1750		qgb	Matthias Pache
MIRRIPU_TIMOTE	MIRRIPU_TIMOTE	timo1237	Timote-Cuica	qsm	South America	8.46	-71.19		TC.TIMOTE-CUICA	Timote-Cuica	Timote-Cuica	True	False			qsm	
MOMI_YADIM	MOMI_YADIM					8.64	12.27		NC.ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Duru,Voko-Dowayo,Vere-Dowayo,Vere-Gimme,Vere	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,SambaDuru,NorthernSambaDuru,Vere-Gimme,Vere	False	False			ve0	Matthew S. Dryer
MORIKE	MORIKE	mori1273	Morike		South America	-5.63	-73.13	Arawakan	Arw.YANESHA	Maipurean,Southern,Western	Arawakan,WesternMaipuran,Chamicuro-Morike	False	False			mo0	Matthew S. Dryer
MORSKA_KLINGON	MORSKA_KLINGON					34.1	-118.33		Oth.ARTIFICIAL		ArtificialLanguage	False	False				André Müller
MULAO_KADAI	MULAO_KADAI	gela1264	Gelao Mulao		Eurasia	26.68	107.8	Tai-Kadai	TK.KADAI	Tai-Kadai,Kra,WesternKra	Tai-Kadai,Kadaic,SouthwesternKra,WesternKra,Gelaoic,NorthernGelao	False	False			mu0	Sebastian Sauppe
NABIT	NABIT	nabi1240	Nabit		Africa	10.86	-0.67	Atlantic-Congo	NC.GUR	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Gur,Central,Northern,Oti-Volta,Western,Northwest	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,NorthernCentralGur,Bwamu-Oti-Volta,Oti-Volta,NuclearOti-Volta,Gurma-Yom-Oti-VoltaOccidental,Oti-VoltaOccidental,NuclearOti-VoltaOccidental,NorthwestOti-Volta,Mossi-Farefare,Farefareic	False	False			na0	Matthew S. Dryer
NAHUATL_ACAXOCHITLAN	NAHUATL_ACAXOCHITLAN					20.17	-98.2		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_AMILCINGO_ZACUALPAN	NAHUATL_AMILCINGO_ZACUALPAN					18.8	-98.77		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_AXOCHIAPAN	NAHUATL_AXOCHIAPAN					18.5	-98.77		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_AYOTOXCO	NAHUATL_AYOTOXCO					20.1	-97.4		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_CHICHIQUILA	NAHUATL_CHICHIQUILA					19.17	-97.02		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_CHIGNAUTLA	NAHUATL_CHIGNAUTLA					19.82	-97.37		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_CHILOCOYO_HUEHUETLA	NAHUATL_CHILOCOYO_HUEHUETLA					20.12	-97.62		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_CHINANCAHUATL_ZACUALTIPAN	NAHUATL_CHINANCAHUATL_ZACUALTIPAN					20.63	-98.58		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_COYOTEPEC	NAHUATL_COYOTEPEC	coyo1236	Coyotepec Popoloca		North America	19.77	-99.2	Otomanguean	UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_CUAMELC0_TIANGUISTENGO	NAHUATL_CUAMELC0_TIANGUISTENGO					20.72	-98.62		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS	NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS					20.8	-98.65		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_HUEYAPAN_TETELA_DEL_VOLCAN	NAHUATL_HUEYAPAN_TETELA_DEL_VOLCAN					18.87	-98.67		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl	False	False				André Müller
NAHUATL_HUEYATI_YAHUALICA	NAHUATL_HUEYATI_YAHUALICA					20.93	-98.4		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl,HuastecaNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_IXHUATLAN_DE_MADERO	NAHUATL_IXHUATLAN_DE_MADERO					20.68	-98.02		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl,HuastecaNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_IXTACAMAXTITLAN	NAHUATL_IXTACAMAXTITLAN					19.62	-97.82		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_JALATLACO	NAHUATL_JALATLACO					19.18	-99.42		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl,Tehuacan-ZongolicaNahuatl,Tehuacanic	False	False				Pamela Brown and Søren Wichmann
NAHUATL_JICOCINGO_ZACATLAN	NAHUATL_JICOCINGO_ZACATLAN					19.92	-97.97		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl,Tehuacan-ZongolicaNahuatl,Tehuacanic	False	False				Pamela Brown and Søren Wichmann
NAHUATL_LAS_BALSAS	NAHUATL_LAS_BALSAS					20.7	-97.78		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO	NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO					21	-98.83		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl,HuastecaNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_MONTEGRANDE_PLATON_SANCHEZ	NAHUATL_MONTEGRANDE_PLATON_SANCHEZ					21.27	-98.37		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_QUETZALAPA_AZOYU	NAHUATL_QUETZALAPA_AZOYU					18.3	-99.2		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl,WesternPeriphery-NorthGuerreroNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_REYES_DE_VALLARTA_TUZAMAPAN	NAHUATL_REYES_DE_VALLARTA_TUZAMAPAN					20.1	-97.52		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_SANTA_ANA_TLACOTENCO	NAHUATL_SANTA_ANA_TLACOTENCO					19.18	-99.02		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl,Tehuacan-ZongolicaNahuatl,Tehuacanic	False	False				Pamela Brown and Søren Wichmann
NAHUATL_SANTA_MARIA_TEOPOXCO	NAHUATL_SANTA_MARIA_TEOPOXCO					18.17	-96.95		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,EasternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_SAN_FRANCISCO_TLALNEPANTLA	NAHUATL_SAN_FRANCISCO_TLALNEPANTLA					19.18	-99.12		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl,CentralNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_SAN_JERONINO_AMANALCO	NAHUATL_SAN_JERONINO_AMANALCO					19.52	-98.75		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl	False	False				Pamela Brown and Søren Wichmann
NAHUATL_SAN_PEDRO_JICORA	NAHUATL_SAN_PEDRO_JICORA					22.42	-104.5		UA.AZTECAN	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,CoreNahua,Nahuatl	Uto-Aztecan,SouthernUto-Aztecan,Corachol-Aztecan,Aztec,WesternNahuatl,WesternPeriphery-NorthGuerreroNahuatl,WesternPeripheryNahuatl,DurangoNahuatl	False	False				Søren Wichmann
