ID	Name	Glottocode	Glottolog_Name	ISO639P3code	Macroarea	Latitude	Longitude	Family	classification_wals	classification_ethnologue	classification_glottolog	recently_extinct	long_extinct	year_of_extinction	code_wals	code_iso	transcribers
ADILABAD_GONDI	ADILABAD_GONDI	sout2711	Southern Gondi	wsg	Eurasia	19	81	Dravidian	Dra.SOUTH-CENTRAL_DRAVIDIAN	Dravidian,South-Central,Gondi-Kui,Gondi	Dravidian,SouthDravidian,SouthDravidianII,Gondi,NorthwestGondi	False	False		gon	wsg	Ann-Katrin Wett
ALLENTIAC	ALLENTIAC	alle1238	Allentiac	qbt	South America	-33.48	-68.1	Huarpean	Hur.HUARPE	Huarpe	Huarpean	True	False	1750		qbt	Matthias Pache
AMAM	AMAM	amam1246	Amam		Papunesia	-7.9	146.92	Goilalan	TNG.GOILALAN	Trans-NewGuinea,SoutheastPapuan,Goilalan,Kunimaipa	Goilalan,Weric	False	False			am0	Matthew S. Dryer
ANDOQUERO	ANDOQUERO	ando1254	Andoquero		South America	-0.67	-72.31	Huitotoan	Hui.UNCLASSIFIED_HUITOTOAN	Witotoan	Huitotoan,UnclassifiedHuitotoan	True	False			an0	Matthew S. Dryer
ARAMAIC_ANCIENT	ARAMAIC_ANCIENT					35	37		AA.SEMITIC	Afro-Asiatic,Semitic,Central,Aramaic	Afro-Asiatic,Semitic,WestSemitic,CentralSemitic,NorthwestSemitic,Aramaic	False	True				Viveka Velupillai
BALADE	BALADE	bala1316	Balade		Papunesia	-20.25	164.2	Austronesian	An.OCEANIC	Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,Central-EasternOceanic,RemoteOceanic,NewCaledonian,Northern,ExtremeNorthern	Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,SouthernMelanesian,NewCaledonian,ExtremeNorthernNewCaledonian,Nyalayu	False	False			ba0	Matthew S. Dryer
BANKALA	BANKALA			jjr		9.5	10.5		NC.BANTOID	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Jarawan,Nigerian	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Jarawan,NigerianJarawan	False	False		jar	jjr	André Müller
BARRANBIYA	BARRANBIYA	barr1252	Barranbinya		Australia	-30.1	145.93	Pama-Nyungan	PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan	Pama-Nyungan,SoutheasternPama-Nyungan,NewSouthWalesPama-Nyungan,Muruwaric	True	False				Julia Bischoffberger
BIGAMBAL	BIGAMBAL	biga1237	Bigambal		Australia	-28.6	150.35	Pama-Nyungan	PN.EAST_QUEENSLAND_BORDER	Australian,Pama-Nyungan	Pama-Nyungan,EastQueenslandBorderPamaNyungan,Yugambalic,Yugambal-Bigambal	True	False				Julia Bischoffberger
BIRRDHAWAL	BIRRDHAWAL	gana1268	Birrdhawal		Australia	-37.05	148.93	Pama-Nyungan	PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan	Pama-Nyungan	True	False				Julia Bischoffberger
CAMBERRA_LANGUAGE	CAMBERRA_LANGUAGE	sout2770	Southern Inland Yuin		Australia	-35.31	149.12	Pama-Nyungan	PN.SOUTHEASTERN_PAMA-NYUNGAN	Australian,Pama-Nyungan	Pama-Nyungan	True	False				Julia Bischoffberger
CARIAY	CARIAY	cari1280	Cariay		South America	-0.26	-65.11	Arawakan	Arw.INLAND_NORTHERN_ARAWAKAN	Maipurean,Northern,UpperAmazon,Unclassified	Arawakan,NorthernMaipuran,Negro-Roraima,Bahuanaic	True	False			ca0	Søren Wichmann
CARIB_1665	CARIB_1665	vinc1243	Vincentian Creole English		North America	13.13	-61.22	Indo-European	Arw.CARIBBEAN_ARAWAKAN	Maipurean	Arawakan	True	False	1665			Cecil H. Brown
CHALON	CHALON	chal1270	Chalon		North America	36.37	-121.15	Miwok-Costanoan	Pen.COSTANOAN	Miwok-Costanoan,Costanoan	Miwok-Costanoan,Costanoan,NorthernCostanoan	True	False			ch0	Matthew S. Dryer
CHEMAKUM	CHEMAKUM	chim1310	Chimakum		North America	47.91	-123.14	Chimakuan	Chk.CHIMAKUAN	Chimakuan	Chimakuan	True	False				Matthew S. Dryer
CHOLTI	CHOLTI	chol1283	Cholti	qjt	North America	15.5	-89	Mayan	May.MAYAN	Mayan,Yucatecan-CoreMayan,CoreMayan,Cholan-Tzeltalan,Cholan,Chol-Chontal	Mayan,CoreMayan,WesternMayan,Cholan-Tzeltalan,Cholan,Chorti-Cholti	True	False	1695		qjt	Cecil H. Brown
COERUNA	COERUNA	coer1236	Coeruna		South America	-1.9	-65.55	Huitotoan	Hui.UNCLASSIFIED_HUITOTOAN	Witotoan	Huitotoan,UnclassifiedHuitotoan	True	False				Julia Bischoffberger and Matthew S. Dryer
